NN,Description,Justification
1.1,"Էներգետիկական կազմակերպությունում առկա չեն հետևյալ փաստաթղթերը՝ սարքավորումների, շենքերի և շինությունների շահագործման հրահանգները։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 104-րդ կետի 19-րդ ենթակետ:"
1.2,Էներգետիկական կազմակերպությունում առկա չեն հետևյալ փաստաթղթերը՝ աշխատողների հաստիքների պաշտոնեական հրահանգները։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 104-րդ կետի 19-րդ ենթակետ:"
2,էներգատեղակայանքները գործարկվում են առանց լիազոր մարմնից ստացված գործարկման եզրակացության։,"«Էներգետիկայի բնագավառում և էներգասպառման ոլորտում պետական տեխնիկական վերահսկողության մասին» օրենք, 8-րդ հոդվածի 2-րդ մասի «դ» ենթակետ:"
3,Տնտեսավարող սուբյեկտն իր կողմից շահագործվող էներգատեղակայանքներում տեղի ունեցած պատահարների մասին չի հայտնել լիազոր մարմնին։,"«Էներգետիկայի բնագավառում և էներգասպառման ոլորտում պետական տեխնիկական վերահսկողության մասին»  օրենք, 8-րդ հոդվածի 3-րդ մաս:"
4,Էներգամատակարարող կազմակերպությունը սպառողների էներգատեղակայանքներում տեղի ունեցած մարդկանց կյանքին վնասի պատճառմամբ վթարների մասին սահմանված կարգով չի հայտնել լիազոր մարմնին։,"ՀՀ կառավարության 2007 թվականի ապրիլի 12-ի N 580-Ն որոշում, հավելված N 2-ի 1-ին գլխի 5-րդ կետի ա.1) ենթակետ:"
5,Պատահարների քննության արդյունքները ձևակերպված են արձանագրությամբ՝ սահմանված ձևին համապատասխան։,"ՀՀ կառավարության 2007 թվականի ապրիլի 12-ի  N 580-Ն որոշում, հավելված N 2-ի 2-րդ գլխի 8-րդ կետ:"
6,"Առկա չեն հիմնական սարքավորումների նորոգման համար հեռանկարային և տարեկան, իսկ օժանդակ սարքավորումների նորոգման համար տարեկան և ամսական ժամանակացույցներ։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 9-րդ գլխի 90-րդ կետ:"
7,"Չեն իրականացվել էներգակայանքների սարքավորումների, շենքերի, շինությունների և հաղորդակցուղիների տեխնիկական սպասարկումը և պլանային նորոգումը։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 9-րդ գլխի 88-րդ կետ:"
8,"Էլեկտրատեղակայանքներում աշխատանքներն սկսելուց առաջ շինմոնտաժային կազմակերպության (ՇՄԿ) կողմից չի ներկայացվել անհրաժեշտ տեղեկատվությունը (աշխատանքների բովանդակություն, ծավալ, կատարման ժամկետներ, անձնակազմի ցուցակ)։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 24-րդ գլխի 579-րդ կետ:"
9,"Կազմակերպությունում, որի կայանքներում կատարվել են աշխատանքներ, առկա չէ ՇՄԿ ներկայացուցչի հետ համատեղ ձևակերպված աշխատանքների կատարման ակտ-թույլտվությունը։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 24-րդ գլխի 580-րդ կետ:"
10,"Ցածր ռիսկայնության պայմաններում աշխատանքներ կատարողները սահմանված կարգով չեն անցել նախնական և սկզբնական հրահանգավորումները, և/կամ դրանց վերաբերյալ չեն կատարվել նշումներ համապատասխան գրանցամատյանում։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 25-րդ գլխի 601-րդ կետ:"
11,Միջին ռիսկայնության պայմաններում աշխատանքներ կատարողները 3 տարին մեկ անգամ չեն անցել ուսուցում` աշխատանքի անվտանգության ստանդարտներից։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-իN 583-Ն որոշում, հավելվածի 2-րդ բաժնի 25-րդ գլխի 602-րդ կետի 5-րդ ենթակետ:"
12,Բարձր ռիսկայնության պայմաններում աշխատանքներ կատարողները տարեկան մեկ անգամ չեն հանձնել հերթական քննություն` աշխատանքի անվտանգության ստանդարտներից։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի  N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 25-րդ գլխի 603-րդ կետի 3-րդ ենթակետ:"
13.1,"Յուրաքանչյուր աշխատատեղի պաշտոնական հրահանգներում նշված չեն այն սարքավորումների սպասարկման հրահանգների, սարքավորումների և սարքվածքների սխեմաների ցանկը, որոնց իմացությունը պարտադիր է տվյալ պաշտոնի համար։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 115-րդ կետի 1-ին ենթակետ:"
13.2,"Յուրաքանչյուր աշխատատեղի պաշտոնական հրահանգներում նշված չեն աշխատողի իրավունքները, պարտականությունները։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 115-րդ կետի 2-րդ ենթակետ:"
13.3,"Յուրաքանչյուր աշխատատեղի պաշտոնական հրահանգներում նշված չեն փոխհարաբերությունները վերադասի, ենթակաների և այլ աշխատողների միջև։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 115-րդ կետի 3-րդ ենթակետ:"
14.1,Շահագործման մեջ գտնվող ռելեական պաշտպանության և ավտոմատիկայի (ՌՊԱ) սարքվածքների մասին ՌՊԱ ծառայությունում առկա չեն հետևյալ տեխնիկական փաստաթղթերը՝ անձնագիր-արձանագրությունները։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 44-րդ գլխի 833-րդ կետի 1-ին ենթակետ:"
14.2,Շահագործման մեջ գտնվող ռելեական պաշտպանության և ավտոմատիկայի (ՌՊԱ) սարքվածքների մասին ՌՊԱ ծառայությունում առկա են հետևյալ տեխնիկական փաստաթղթերը՝ կարգաբերման և ստուգման հրահանգները կամ մեթոդական ցուցումները:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 44-րդ գլխի 833-րդ կետի 2-րդ ենթակետ:"
14.3,Շահագործման մեջ գտնվող ռելեական պաշտպանության և ավտոմատիկայի (ՌՊԱ) սարքվածքների մասին ՌՊԱ ծառայությունում առկա չեն հետևյալ տեխնիկական փաստաթղթերը՝ սարքվածքների մասին տեխնիկական տվյալներ՝ նախադրվածքների քարտերի և բնութագրերի տեսքով:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 44-րդ գլխի 833-րդ կետի 3-րդ ենթակետ:"
14.4,"Շահագործման մեջ գտնվող ռելեական պաշտպանության և ավտոմատիկայի (ՌՊԱ) սարքվածքների մասին ՌՊԱ ծառայությունում առկա չեն հետևյալ տեխնիկական փաստաթղթերը՝ սկզբունքային, հավաքակցման կամ սկզբունքային-հավաքակցման կատարողական աշխատանքային սխեմաները:","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 44-րդ գլխի 833-րդ կետի 4-րդ ենթակետ:"
14.5,Շահագործման մեջ գտնվող ռելեական պաշտպանության և ավտոմատիկայի (ՌՊԱ) սարքվածքների մասին ՌՊԱ ծառայությունում առկա չեն հետևյալ տեխնիկական փաստաթղթերը՝ ՌՊԱ բարդ սարքվածքներն ստուգելու համար աշխատանքից հանելու (աշխատանքի մեջ մտցնելու) աշխատանքային ծրագրերը:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 44-րդ գլխի 833-րդ կետի 5-րդ ենթակետ:"
15,"Էլեկտրատեղակայանքներում աշխատանքներ կատարելու համար գործուղող կազմակերպության ուղեկցող նամակում նշված չեն գործուղման վայրը, նպատակը, այն աշխատողների ցանկը, որոնք կարող են տալ կարգագիր, նշանակվել պատասխանատու ղեկավարներ, աշխատանքներն իրագործողներ, հսկողներ, բրիգադի անդամներ, աշխատողների խմբերը։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 23-րդ գլխի 564-րդ կետ:"
16.1,"Օպերատիվ փաստաթղթերը, գրանցող ստուգիչ-չափիչ սարքերի դիագրամները, օպերատիվ-կարգավարական խոսակցությունների ձայնագրությունները, ԿԱՀ-ի օպերատիվ-տեղեկատվական համալիրի կազմած ելքային փաստաթղթերը չեն պահվում գրանցող սարքերի ցուցմունքների գրանցումները կրիչների վրա՝ 4 տարի:","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 119-րդ կետի 1-ին ենթակետ:"
16.2,"Օպերատիվ փաստաթղթերը, գրանցող ստուգիչ-չափիչ սարքերի դիագրամները, օպերատիվ-կարգավարական խոսակցությունների ձայնագրությունները, ԿԱՀ-ի օպերատիվ-տեղեկատվական համալիրի կազմած ելքային փաստաթղթերը չեն պահվում բնականոն պայմաններում օպերատիվ խոսակցությունների ձայնագրությունները՝ 30 օր, իսկ ժամկետը երկարաձգելու ցուցման դեպքում՝ այդ ժամկետում:","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 119-րդ կետի 2-րդ ենթակետ:"
