NN,Description,Justification
1,"Առկա չեն գազի տնտեսության շահագործման, գազի սարքավորումների տեխնիկական սպասարկման և վերանորոգման հատուկ հրահանգները` հաստատված կազմակերպության գլխավոր ինժեների կողմից, որոնց կցվում են գազատարների սխեմաներ, նախագծեր, որտեղ նշվում են փականների, չափիչ-ստուգիչ սարքերի, կարգավորիչ և ապահովիչ սարքավորումների, գազօգտագործող սարքերի, սարքավորումների և ագրեգատների տեղադրման վայրերը:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի հավելված N 26-ի 1-ին գլխի 1-ին և 2-րդ կետեր:"
2,"Գազի տնտեսության շահագործման, գազի սարքավորումների տեխնիկական սպասարկման և վերանորոգման հատուկ հրահանգները չեն վերանայվում և ճշտվում երկու տարին մեկ անգամ։","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի հավելված N 26-ի 1-ին գլխի 1-ին և 2-րդ կետեր:"
3,Էներգատեղակայանքները չեն գործարկվում լիազոր մարմնից ստացված գործարկման եզրակացությամբ։,"«Էներգետիկայի բնագավառում և էներգասպառման ոլորտում պետական տեխնիկական վերահսկողության մասին» օրենք, 8-րդ հոդվածի 2-րդ մասի «դ» կետ։"
4,Տնտեսավարող սուբյեկտը՝ դրա մասնաճյուղի կողմից շահագործվող էներգատեղակայանքներում տեղի ունեցած պատահարների մասին չի հայտնել լիազոր մարմնին։,"«Էներգետիկայի բնագավառում և էներգասպառման ոլորտում պետական տեխնիկական վերահսկողության մասին» օրենք, 8-րդ հոդվածի 3-րդ մաս։"
5,Էներգամատակարարող կազմակերպությունը սպառողների էներգատեղակայանքներում տեղի ունեցած մարդկանց կյանքին վնասի պատճառմամբ վթարների մասին սահմանված կարգով չի հայտնել լիազոր մարմնին։,"ՀՀ կառավարության 2007 թվականի ապրիլի 12-ի N 580-Ն որոշում, հավելված N 2-ի 1-ին գլխի 5-րդ կետի ա.1) ենթակետ։"
6,Կազմակերպության էներգատեղակայանքներում տեղի ունեցած պատահարների քննությունները սահմանված կարգով չեն իրականացվել։,"ՀՀ կառավարության 2007 թվականի ապրիլի 12-ի N 580-Ն որոշում, հավելված N 2-ի 2-րդ գլխի 1-ին կետի բ) ենթակետի երկրորդ պարբերություն։"
7,Կազմակերպության ղեկավարի հրամանով ղեկավար ինժեներատեխնիկական անձնակազմից նշանակված չէ գազի տնտեսության անվտանգ շահագործման համար պատասխանատու անձ (անձինք)։,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 1-ին բաժնի 1-ին գլխի 13-րդ կետ։"
8,"Գազամատակարարման համակարգերի շահագործմամբ զբաղված աշխատակիցները աշխատանքի անվտանգության գծով չեն անցել կազմակերպության ստանդարտով սահմանված ներածական, առաջնային-աշխատանքի տեղում, կրկնակի, արտածրագրային, ընթացիկ հրահանգավորումներ։","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 12-րդ բաժնի 29-րդ գլխի 804-րդ կետ։"
9,Կենցաղային նպատակներով բնական գազ սպառողների էներգատեղակայանքներում տեղի ունեցած ոչ մահացու ելքով պատահարների քննությունները սահմանված կարգով չեն իրականացվել։,"ՀՀ կառավարության 12.04. 2007 թ. N 580-Ն որոշում, հավելված N 2-ի 2-րդ գլխի 1-ին կետի բ) ենթակետի երրորդ պարբերություն։"
10,Ինժեներատեխնիկական և աշխատակիցները նախկինից տարբերվող այլ աշխատանքի անցնելուց չեն հանձնել քննություն սահմանված պահանջների իմացության վերաբերյալ։,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ կետ։"
11,Պողպատյա գազատարների եռակցման աշխատանքները չեն իրականացրել կազմակերպության ստանդարտի համաձայն համապատասխան որակավորում անցած և վկայական ստացած եռակցողները։,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 7-րդ բաժնի 12-րդ գլխի 332-րդ կետ։"
12,"Գազի մատուցման աշխատանքների ավարտը չի նշվել գազավտանգավոր աշխատանքների կարգագրում և/կամ չի կցվել օբյեկտի կատարողականին, տեխնիկական փաստաթղթերին և/կամ չի պահվում։","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 9-րդ բաժնի 18-րդ գլխի 498-րդ կետ։"
13,"Ստորգետնյա և վերգետնյա գազատարների և նրանց կառույցների վիճակի շրջայցը չի իրականացվում նախօրոք կազմված և գազի տնտեսության կազմակերպության տեխնիկական ղեկավարի կողմից հաստատված ժամանակացույցերի համաձայն՝ գազատար ուղեգծերի պարբերաբար շրջայցման եղանակով` ըստ սույն ստուգաթերթի Աղյուսակ N 1*-ում ներկայացված ուղեգծերի շրջագայման հաճախականության, և/կամ ստուգման արդյունքները յուրաքանչյուր շրջայցից հետո չեն գրանցվել շրջայցման մատյաններում՝ կազմակերպության ստանդարտով սահմանված կարգով։","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի II բաժնի 3-րդ գլխի կետ 78-րդ կետի 1-ին ենթակետ և 89-րդ կետ։"
14,Կազմակերպությունների գազակարգավորիչ կետերի (ԳԿԿ) և պահարանային գազակարգավորիչ կետերի (ՊԳԿԿ) (գազակարգավորիչ տեղակայանքների) տեխնիկական զննումը և սպասարկումը չի իրականացվել կազմակերպության մասնագիտացված անձնակազմի կամ գազի տնտեսության կազմակերպության կողմից` պայմանագրային հիմունքներով։,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 9-րդ բաժնի 22-րդ գլխի 606-րդ կետի 4-րդ ենթակետ։"
15,"Վթարային կարգավարական ծառայության անձնակազմի հետ ուսումնավարժանքային պարապմունքները չեն անցկացվել ոչ ուշ, քան տարին 2 անգամ։","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 8-րդ բաժնի 16-րդ գլխի 471-րդ կետ։"
16,"Վթարային կարգավարական ծառայության անձնակազմի հետ ստուգողական կանչերը չեն անցկացվել ոչ պակաս, քան 3 ամիսը մեկ անգամ։","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 8-րդ բաժնի 16-րդ գլխի 471-րդ կետ։"
17,"Վթարային կարգավարական ծառայությունում բոլոր հայտերը և ծանուցումները չեն գրանցվել հայտերի մատյանում՝ ճիշտ ժամանակի (ժամ, րոպե), հայտի բովանդակության և վթարային բրիգադի մեկնման ժամանակի նշմամբ (ժամ, րոպե)։","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 8-րդ բաժնի 16-րդ գլխի 458-րդ կետ։"
